name,portion,food_source,calories,protein,carbs,fat,fiber,saturated_fat,trans_fat,monounsaturated_fat,polyunsaturated_fat,sugar,added_sugar,sodium,calcium,iron,magnesium,phosphorus,potassium,zinc,vitamin_a,vitamin_c,vitamin_d,vitamin_e,vitamin_k,vitamin_b1,vitamin_b2,vitamin_b3,vitamin_b6,vitamin_b12,folate,cholesterol,water,caffeine,alcohol,is_favorite,nutritionist_id,external_id,created_at,updated_at
"Arroz, integral, cozido",100g,TACO,123.53,2.59,25.81,1.0,2.75,,,,,,,1.24,5.2,0.26,58.7,105.85,75.15,0.68,,,,,,0.08,,,0.08,,,,70.14,,,false,,taco_001,,
"Arroz, integral, cru",100g,TACO,359.68,7.32,77.45,1.86,4.82,,,,,,,1.65,7.82,0.95,109.71,250.87,173.34,1.4,,,,,,0.26,,4.18,0.17,,,,12.18,,,false,,taco_002,,
"Arroz, tipo 1, cozido",100g,TACO,128.26,2.52,28.06,0.23,1.56,,,,,,,1.2,3.54,0.08,2.25,17.95,14.67,0.49,,,,,,,,,,,,,69.11,,,false,,taco_003,,
"Arroz, tipo 1, cru",100g,TACO,357.79,7.16,78.76,0.34,1.64,,,,,,,1.02,4.41,0.68,30.38,104.21,62.5,1.22,,,,,,0.16,,1.12,0.07,,,,13.22,,,false,,taco_004,,
"Arroz, tipo 2, cozido",100g,TACO,130.12,2.57,28.19,0.36,1.07,,,,,,,1.96,3.33,0.05,6.05,21.52,20.2,0.55,,,,,,,,,,,,,68.73,,,false,,taco_005,,
"Arroz, tipo 2, cru",100g,TACO,358.12,7.24,78.88,0.28,1.72,,,,,,,0.57,4.83,0.6,29.24,82.04,57.28,1.27,,,,,,0.16,,0.92,0.05,,,,13.16,,,false,,taco_006,,
"Aveia, flocos, crua",100g,TACO,393.82,13.92,66.64,8.5,9.13,,,,,,,4.63,47.89,4.45,118.76,153.4,336.33,2.63,,1.35,,,,0.55,0.03,4.47,,,,,9.13,,,false,,taco_007,,
"Biscoito, doce, maisena",100g,TACO,442.82,8.07,75.23,11.97,2.1,,,,,,,352.03,54.45,1.76,37.14,166.1,141.64,1.03,,6.22,,,,1.01,0.42,3.91,0.23,,,,3.22,,,false,,taco_008,,
"Biscoito, doce, recheado com chocolate",100g,TACO,471.82,6.4,70.55,19.58,2.96,,,,,,,239.2,27.23,2.27,47.98,139.45,232.4,0.99,,3.53,,,,0.32,0.39,2.52,0.46,,,,2.18,,,false,,taco_009,,
"Biscoito, doce, recheado com morango",100g,TACO,471.17,5.72,71.01,19.57,1.53,,,,,,,229.82,35.78,1.48,27.1,137.74,113.01,0.73,,,,,,0.9,0.42,1.5,0.21,,,,2.73,,,false,,taco_010,,
